,title,description,image
4,Selena Gomez: My Mind & Me,"After years in the limelight, Selena Gomez achieves unimaginable stardom. But just as she reaches a new peak, an unexpected turn pulls her into darkness.",https://m.media-amazon.com/images/M/MV5BMTIwOTMwNmYtMmQwMC00MzY4LThlZDEtZWM3YTM1MTNkOWRjXkEyXkFqcGdeQXVyNjEwNTM2Mzc@.jpg
6,The Greatest Lie Ever Sold: George Floyd and the Rise of BLM,"On the 2-year anniversary of George Floyd's death, Candace revisits Minneapolis and the violent, racially-divided aftermath that fueled BLM's global rise-and filled its coffers.",https://m.media-amazon.com/images/M/MV5BNjkyODk4ZmYtMjQ2My00MTg1LTlhN2ItYTE1NTY4ZDgzYzlmXkEyXkFqcGdeQXVyMTUzMjQxODI1.jpg
11,I Am a Stalker,"Convicted stalkers tell the programme, in their own chilling words, how love turned into a deadly obsession in face first, captivating in-depth interviews.",https://m.media-amazon.com/images/M/MV5BYjRjNmI4NWEtN2U3MC00YTBkLTk5MGYtOGMxMmQ5NWM4N2Q2XkEyXkFqcGdeQXVyMTQ3Njc1Mjg2.jpg
14,Cunk on Earth,Follows Philomena Cunk as she comically tells the story of our greatest inventions and asks experts hard-hitting questions about humanity's progress.,https://m.media-amazon.com/images/M/MV5BMDJiZjM0YWItZWIzMi00MDFhLTg4YjgtYmFkOTUzODlmMzhmXkEyXkFqcGdeQXVyNjI2OTgxNzY@.jpg
18,Nathan for You,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",https://m.media-amazon.com/images/M/MV5BOGY4ZWM1MDUtZmM3MS00ZjAxLTkyYzMtMjgxODI1YzkzNGUwXkEyXkFqcGdeQXVyNzk2NzE5Mjk@.jpg
20,Moonage Daydream,"A cinematic odyssey exploring David Bowie's creative and musical journey. From visionary filmmaker Brett Morgen, and sanctioned by the Bowie estate.",https://m.media-amazon.com/images/M/MV5BNzU1YjhlNGQtYjViMC00OTZjLTgyYjMtODhmMTIwNGQ4MTQ0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg
22,Ghost Adventures,"Zak Bagans, Aaron Goodwin, Billy Tolley, and Jay Wasley investigate the scariest, most notorious, haunted places in the world.",https://m.media-amazon.com/images/M/MV5BOTc5NjdmZTMtMzQ2YS00ZDc1LWE1M2ItYjBlY2EyNDg5NjYyXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
23,My Encounter with Evil,"A chilling story about how three women, their relatives and friends face evil; its protagonists testify about their experiences of possession, infestation and exorcisms.",https://m.media-amazon.com/images/M/MV5BYzVjMDE4ZWEtNmJlNC00MDY4LWE2NDktNTYxN2I1MTE4MjUyXkEyXkFqcGdeQXVyMTEwMzkzMTA1.jpg
26,Häxan,"Fictionalized documentary showing the evolution of witchcraft, from its pagan roots to its confusion with hysteria in Eastern Europe.",https://m.media-amazon.com/images/M/MV5BNGJjOWY1NDUtZGEyZC00Y2VmLWIzZWUtZDRmODYwYmQzN2VmXkEyXkFqcGdeQXVyNDE5MTU2MDE@.jpg
27,Moment of Contact,"Is an exploration of extraterrestrial encounters centered on a series of events in 1996 when citizens of Varginha, Brazil, reported seeing a UFO crash and one or more strange creatures.",https://m.media-amazon.com/images/M/MV5BOWE1NmI0ZjgtY2JlOC00OTU4LWI2MWItYjA3NmNkNzMzYzczXkEyXkFqcGdeQXVyMTA3MDk2NDg2.jpg
28,Abducted in Plain Sight,"The twisting, turning, stranger-than-fiction true story of the Brobergs, a naive, church-going Idaho family that fell under the spell of a sociopathic neighbor with designs on their twelve-year-old daughter.",https://m.media-amazon.com/images/M/MV5BZjdmZGM5ZDYtNGZmYS00NmYxLWJjZjYtZTE5YmY0NmVjNTc2XkEyXkFqcGdeQXVyNDM3MTM2NzA@.jpg
29,The Redeem Team,"Follows the story of the 2008 U.S. Olympic Men's Basketball team and how ""The Redeem Team"" set a new standard for American basketball.",https://m.media-amazon.com/images/M/MV5BZDE5OGU2ZDQtMGQ0Ni00YzBhLWEyODUtMWUzZTA3NjMxYzVlXkEyXkFqcGdeQXVyMTEzMTI1Mjk3.jpg
33,High: Confessions of an Ibiza Drug Mule,The story of Michaella McCollum who was arrested whilst drug smuggling in Peru in 2013.,https://m.media-amazon.com/images/M/MV5BODkwMmYyZGMtMTc2YS00MzAxLTlmN2YtZWM1OGE3OGIyYWY2XkEyXkFqcGdeQXVyNDg0NjMwNDY@.jpg
35,The Real Anthony Fauci,"Different experts make a stand against today's putatively criminal and harmful health system, focusing on Anthony Fauci and his role in the shaping of the AIDS and COVID-19 epidemics.",https://m.media-amazon.com/images/M/MV5BYmMzMjExNTAtN2I2MS00ODI3LWE3NGUtMjUwZGQzOWEyYmMyXkEyXkFqcGdeQXVyNDUzNzgxODE@.jpg
40,The Curse of Oak Island,"Rick and Marty Lagina, two brothers from Michigan with a life-long interest in the mystery of Oak Island, renew efforts to discover the legendary treasure with sophisticated machinery.",https://m.media-amazon.com/images/M/MV5BMGFhZDJlZDgtZjZjZi00Y2E4LWJkYjMtZmUzMDYyMjE5Njk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg
41,The Beatles: Get Back,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',https://m.media-amazon.com/images/M/MV5BNjMxMjE5ZTEtMjgyOC00ODM4LWJjZDAtMjcwZDBlNzZhZTkyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@.jpg
43,Alone,"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her.",https://m.media-amazon.com/images/M/MV5BOWFhOTc1MmYtOGYxZS00YTBmLWEwZTYtZTkwZTZmZDM2M2MwXkEyXkFqcGdeQXVyMjQ2NDU3NDY@.jpg
44,They Shall Not Grow Old,A documentary about World War I with never-before-seen footage to commemorate the centennial of the end of the war.,https://m.media-amazon.com/images/M/MV5BZWI3ZThmYzUtNDJhOC00ZWY4LThiNmMtZDgxNjE3Yzk4NDU1XkEyXkFqcGdeQXVyNTk5Nzg1NjQ@.jpg
45,Cosmos: A Spacetime Odyssey,An exploration of our discovery of the laws of nature and coordinates in space and time.,https://m.media-amazon.com/images/M/MV5BZTk5OTQyZjYtMDk3Yy00YjhmLWE2MTYtZmY4NTg1YWUzZTQ0XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg
46,Living with Chucky,"A filmmaker who grew up alongside Chucky the killer doll seeks out the other families surrounding the Child's Play films as they recount their experiences working on the ongoing franchise and what it means to be a part of the, ""Chucky"" family.",https://m.media-amazon.com/images/M/MV5BOWUxNWQ1NzAtN2ZjYi00MjBhLWFjZWUtMjFkZmYxMjQ1NzU5XkEyXkFqcGdeQXVyMTI5NTI0MDQw.jpg
49,Pennywise: The Story of It,"A documentary surrounding It (1990), based upon the Stephen King novel of the same name, which featured a notorious villain known mostly as Pennywise.",https://m.media-amazon.com/images/M/MV5BZDNiZWQ4YjUtYjA5NC00YWRlLThkN2MtZjNmMTdmMjA4ZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
50,Air Crash Investigation,"Dramatized reconstruction of real-life air disasters, along with interviews with aviation experts and eyewitnesses.",https://m.media-amazon.com/images/M/MV5BNTYzNGVkZmYtMjhhNS00N2I1LWFlMzUtZjRjOTEzOGM0MDI2XkEyXkFqcGdeQXVyNDE0ODE4ODI@.jpg
51,The Last Blockbuster,"This nostalgic documentary reveals the real story of Blockbuster's demise, and how one last location in Bend, Oregon keeps the spirit of a bygone era alive.",https://m.media-amazon.com/images/M/MV5BNjRhY2YwYzItOGY4My00ZjNjLTg4NDktN2YyNGM1ODA5ZGRmXkEyXkFqcGdeQXVyNzE5OTQzMDU@.jpg
