,title,description,image
4,"Love, Death & Robots","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",https://m.media-amazon.com/images/M/MV5BYTNiYTNkNTAtYzE3ZS00ZDQ1LWEwZTYtZjI1NzYzMWJjY2U4XkEyXkFqcGdeQXVyODk4OTc3MTY@.jpg
6,Hotel Desire,"A young single mother drops her son of at the bus stop to visit his dad in Paris. After being late for work, she almost gets fired. At the end of her duties she gets into a tricky situation which she handles, with the advice her colleague gave her.",https://m.media-amazon.com/images/M/MV5BYjNmZjIzNjItNDMxMS00ZjNjLTg3ZDYtZjliYmM1M2MxOTUzXkEyXkFqcGdeQXVyNjUzNDkzMDI@.jpg
7,Terrifier,"On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown.",https://m.media-amazon.com/images/M/MV5BYmMxNzA0OTUtOTJiOS00NTc4LWJmNTItMGM3OWE0N2Y0NjhjXkEyXkFqcGdeQXVyMTg5NjU4NjE@.jpg
8,Kenobi: A Star Wars Story,"After years in hiding, Obi-Wan Kenobi struggles to reconnect with the Force in order to protect Luke Skywalker from Imperial forces.",https://m.media-amazon.com/images/M/MV5BOGUwZjg2NjUtMGViZC00ZjgxLTljZTYtNWU0ODcyNzg2NzBhXkEyXkFqcGdeQXVyMzMxMzQ2ODA@.jpg
10,The 9th Circle,A woman is abducted by a sinister stranger on Halloween night for a fate worse than death.,https://m.media-amazon.com/images/M/MV5BMWJjNGMzZTYtZGU4YS00NTM3LTkwZDUtODI4YmU2YjhiNTZkXkEyXkFqcGdeQXVyNDA5ODU0NDg@.jpg
11,Black Adam Precursor,"5000 years ago, living as a slave under a culture rich with wealth and magic, Teth-Adam gains the powers of Shazam and uses them against his masters. Shazam interferes, locking Adam away until the present day. Black Adam is ""destroying bullies"" when the Justice Society step in to help. They include Hawkman and Doctor Fate, who Adam seems to be familiar with, as well as the newcomers Cyclone and Atom Smasher. Adam describes them as an organization who believes in truth and justice, and then proceeds to fly into the air, promising to teach them that the only beliefs for which he fights are his own.::Anonymous",https://m.media-amazon.com/images/M/MV5BZDIxYjAzY2EtZjVjNS00OWI4LTljMDMtZWRmYTA4NDEwNWMxXkEyXkFqcGdeQXVyMTEyNzgwMDUw.jpg
12,Bob Hearts Abishola,An American guy falls in love with his Nigerian nurse.,https://m.media-amazon.com/images/M/MV5BOGEzOTc3MTctY2ExZi00MDViLWFkYTQtN2Y2MDFmN2NhZTI4XkEyXkFqcGdeQXVyNjc0MjkzNjc@.jpg
13,Home Movie: The Princess Bride,Serialized remake of 'The Princess Bride' told in short chapters featuring celebrities at home during quarantine.,https://m.media-amazon.com/images/M/MV5BZjU3ZWUwZDgtMTEwOC00NGU1LWI5ZDUtYWQyMjY1YWQzYjQwXkEyXkFqcGdeQXVyNTk5NTQzNDI@.jpg
16,Phineas and Ferb,"Phineas and Ferb invent, scheme, and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz.",https://m.media-amazon.com/images/M/MV5BMTc1NjcxNzg4MF5BMl5BanBnXkFtZTgwOTMzNzgyMDE@.jpg
18,Boss Bitch Fight Challenge,"At home and bored during the pandemic lockdown, Zoë Bell picks a fight with her Boss Bitch friends. Glorious mayhem ensues.",https://m.media-amazon.com/images/M/MV5BMmU5NjQ2OTAtZmNhMS00ZWY2LWE2ODUtNTAwYmFmZmVlM2U3XkEyXkFqcGdeQXVyMTE2NzA0Ng@@.jpg
